subject_id,x,y
S357,28.469144185354864,-16.022551999019694
S358,4.934731171630826,-5.898594133331385
S359,1.8636085621689675,-4.299250295798638
S360,1.3245535182681452,4.501014985188513
S361,-3.103788298149601,-1.38272533734181
S362,-3.5614957203833657,-3.1530504069220764
S363,5.807052809138709,-1.694797808508452
S364,2.0581798504705255,-8.835367947191644
S365,1.783756028032923,-3.374692492852381
S366,5.645467883868767,-6.976907965831655
S367,-4.642005474814718,-0.8976536998465608
S368,-5.280366152846488,-1.4676862866839746
S369,-2.6547002326422118,4.756314615747369
S370,2.512939712924784,0.3774678326421154
S371,9.296462125893498,-8.558511243252328
S372,6.907514596782104,-6.954760492494638
S373,1.4928032744808057,-1.4661488657979203
S374,-2.3287280873597727,-2.312840596489359
S375,0.8337598810940093,0.4900531417089202
S376,10.712037160788334,-12.07284508750366
S377,-3.5388077362130863,-1.0076932974428148
S378,-6.344245760350293,-1.5396390668542739
S379,3.3069811287794404,-6.474024446054301
S380,-6.576930057848691,-1.0324561290422238
S381,-6.7461063254519225,-0.1370856438341192
S382,5.480215770122851,-4.5817886947987345
S383,4.968751358094497,1.5089849634271313
S384,-4.483706676628382,-1.6739243721460828
S385,-1.534574009586055,-3.575671518689428
S386,-4.431157397654448,-2.522404939559264
S387,10.575293809444561,0.6400640021095373
S388,12.383955220052524,5.766043799620884
S389,6.095784531939796,-7.213952710409182
S390,5.548383004898384,3.734586569504441
S391,3.1522320384719973,2.1551795598763284
S392,5.432669943765237,-1.6433001859007905
S393,-1.087424008733508,1.2998611145527175
S394,-1.2745838328031527,2.0143411413267716
S395,0.5522074784493204,-1.2185349869807394
S396,4.260322920696455,-3.095328839812289
S397,2.037882878592738,-4.038011425487233
S398,7.125789674115702,4.999868311660166
S399,0.22520500569803015,-0.059788409839900886
S400,23.636153831358378,19.400846530506232
S401,17.592970060850895,-11.38033953165117
S402,-2.505436017232677,-2.9290106248778667
S403,0.8051620075100033,-2.710622359768904
S404,-1.2825107535437015,-3.5506530793254862
S405,-7.424979336854214,0.9489338659763157
S406,-4.962516832924561,-0.05018432132778219
S407,0.36772092766799114,-2.704603980072582
S408,-1.422410165756707,1.0838563529711922
S409,-3.6889930257337684,5.110453040611861
S410,-0.31751533707563667,-4.1781942885071155
S411,-2.1702744369254177,-0.7477995923811712
S412,-1.5527170620386879,9.299563459568049
S413,7.22096973132529,-2.777724268525888
S414,1.550804964340573,5.219026825615642
S415,-4.824821860107012,-0.3311518414868763
S416,-3.0893007120210356,0.08279438770969481
S417,10.628354117451144,-11.244656911615445
S418,16.930850388636433,-4.653936004101062
S419,-0.7786487814057261,2.4865462722151914
S420,-0.3405427844411399,3.254117112830175
S421,10.023467223327463,-2.844947165155911
S422,11.616921109490342,-7.05091832256946
S423,5.556808602189897,-4.346737358606654
S424,6.211883951992984,-1.5987347747275285
S425,-1.6069047400496028,6.1591362115145465
S426,9.104932569705404,1.474809421287137
S427,8.48545872989231,12.943146421201414
S428,-4.210149061631404,0.26108727306510937
S429,8.236191774919785,2.348295671026724
S430,5.375380677219401,1.9941830818826258
S431,6.091087425754583,-8.796842309143026
S432,14.531571720958336,-2.95567498220415
S433,0.5612061060480938,2.6945195679305045
S434,6.0044107787742265,-0.371075429624715
S435,-1.3458297219411086,1.2912721700027041
S436,-9.31626149555508,-0.12709076689952795
S437,3.8804902658304714,3.792741791869871
S438,6.081949993268742,-3.1122785967043307
S439,-3.354645869866284,1.336632656008317
S440,3.2053750547463387,-4.076240378139031
S441,5.676493112223705,2.7186867842892584
S442,-2.668201435291636,2.7643810122426244
S443,8.541037725207309,-1.4016100221605916
S444,6.533367878941199,-4.65210425454971
S445,-2.2334361734365618,5.95120743315697
S446,-7.479452954701739,1.0484481623725828
S447,-2.1382315995246763,-1.0769894525508914
S448,-0.5473009241085104,-1.0772454617875884
S449,-6.496887375102061,0.22156734697260141
S450,0.5097784319569344,3.233192397039994
S451,4.918150570975698,5.788292888394868
S452,-2.6715550972469133,-1.5469765450208894
S453,-2.159339514803906,5.868502629453776
S454,-3.7429061171531,-2.1238834552984716
S455,-1.625581092196585,-2.469501473850058
S456,2.781842881630865,-6.038647742070273
S457,-3.1028427301321995,-0.7681837958293539
S458,7.6306732931195835,3.880215375351281
S459,2.062741004984843,4.226686787930036
S460,-2.6241351362022867,-1.74552733477424
S461,4.263750360511634,-8.587591420227024
S462,2.6203688439487918,6.478377931673787
S463,4.186439928536542,-3.776697965078366
S464,-6.426274792288726,-0.559644036227744
S465,1.3946315665642957,-1.3182938043974675
S466,5.083344797811345,15.669958992411228
S467,-3.4388406646419156,2.6841824491467032
S468,-4.804540974333645,-0.8515435023703284
S469,2.6672440501358623,-4.375338339155709
S470,-3.839412862792822,0.39397591190343245
S471,9.964662132793583,0.23979979483840164
S472,2.5213248488835833,-7.6261189900111575
S473,-0.4723274553850221,0.2598915105077431
S474,7.160553513578195,2.2025381848199768
S475,-0.6245196813530085,-0.02300032301480842
S476,-1.180639970196145,3.275428979756078
S477,2.4967935016562475,3.2377819288967014
S478,1.4676817534083169,-2.102159249084411
S479,-1.7684341284281166,0.9214661442416504
S480,0.9687645589257751,6.476728429825253
S481,6.198985271565763,4.207217580065261
S482,-0.04974671062893264,1.5157369223047736
S483,2.624521199162827,0.10661411095752414
S484,1.5205940598607335,-1.1583189125981885
S485,-3.1275886187167248,1.5257394996926137
S486,-2.5864826966502266,-0.6806425386324397
S487,4.334557507249318,-1.4866653319484489
S488,3.1454205723179984,-2.7381967573824855
S489,18.75248339024993,30.767727746860164
S490,-4.962528715200308,-0.2775237464836696
S491,2.788707517589869,2.403697671151483
S492,-2.4853304408998063,-2.07375564154766
S493,5.235305767222039,-0.9508075805160334
S494,-2.6715317086144057,-0.44060493475655405
S495,-8.09756578986374,3.2535033730640945
S496,-6.091053917385893,-1.3407924184777968
S497,-9.635535091881657,0.13200981891764507
S498,5.117425921440797,-5.371490889080573
S499,7.128992851376386,19.112560535849326
S500,-4.223235773047208,3.847274891553526
